@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","2.223","","5.445","5.445","","5XX3778","Exterior Steam Main Supports","5.56mm, 7.62mm, Cal .50","1.835","","5.025","","5.025","","","","","","","","","","","0.388","","0.42","","0.42","","","","","","","","","","","","","","","","","","","2017-01","2016-09","","","2017-11","","","","FY 2018 Base procurement dollars in the amount of $5.445 million supports modernization of exterior steam supports at Lake City Army Ammunition Plant.  Effort will evaluate existing steam main supports at the Primer Complex and design and install new steam supports as required.  Effort will improve safety, reduce steam loss to manufacturing buildings and reduce risk of production interruptions for small caliber ammunition.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","1-71da5c50494e024472ca30a182f5a75c1954e4725df5fbb932ba55d460d8d117","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.885","","","","","5163780","Building 15 Programmable Logic Control (PLC) and Economizer Upgrade","5.56mm, 7.62mm, Cal .50","","","","","","1.137","","","","","1.335","","","","","0.413","","","","","","","","","","","","","","","","","","","","","","","2017-01","2016-09","","2018-02","","2018-02","2018-03","","Procurement dollars in the amount of $2.885 million supports modernization upgrades to Building 15 Programmable Logic Control (PLC) and economizer at Lake City Army Ammunition Plant (AAP).  Existing equipment does not meet National Fire Protection Agency code; equipment is obsolete and replacement parts are difficult to procure.  This effort will design and install new economizers and PLC on boilers 1-4.  This system serves as a safety device to prevent boiler explosions and will support production at Lake city AAP.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","2-7476d481edde0884136483d17a1f2b17c5ca00c16782bf28b6315e53ad31c344","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.159","","","","","5163708","Structural Upgrades (Buildings 1, 2, 3, and 35), Design","5.56mm, 7.62mm, .Cal .50, Enhanced Performing Rounds (EPRs), Links","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.159","","","","","","","","","","2017-11","2016-11","","","","","","","Procurement dollars in the amount of $2.159 million supports design effort to correct structural deficiencies found in Buildings 1, 2, 3, and 35 at Lake City Army Ammunition Plant.  Based on a Building Structural Evaluation Study, these buildings are structurally unsafe.  This effort will ensure the safety of personnel, protect production equipment, and assure Lake City AAP complies with Occupational Safety and Health Administration, National Fire Protection Agency, National Electrical Code, and Building Codes.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","3-eca00732cc3ab5c50eb2642f0e34dffed780d87d05a8aeff5421cf064a7ead85","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.656","","","","5173018","Water Supply and Water Tower Upgrades","20mm, 5.56mm, 6.52mm, Cal .50","","0.585","","","","","","","","","","","","","","","0.071","","","","","","","","","","","","","","","","","","","","","","","","2017-04","","2018-04","","","","Base procurement dollars in the amount of $0.656 million supports modernization of Lake City Army Ammunition Plant’s water tower to meet fire safety and ensure production continuity.  Effort will replace the piping leading to the towers as well as the piping and valving in water tower pits.  Water is vital in the production of small caliber ammunition and critical to the welfare personnel.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","4-74d1d9415120e0cc75fd529f58ba9892ad025a4a855ec1961df7395ddbeb80d0","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.311","1.111","1.111","","5XX3459","Primer Assembly Wing, Building 35, HVAC(Design)","20mm, 5.56mm, 7.62mm, Cal .50","","","0.65","","0.65","","","","","","","","","","","","0.034","","","","","","","","","0.461","","0.461","","0.277","","","","","","","","","","2017-05","2018-05","","2020-02","2020-03","2020-04","","FY 2018 Base procurement dollars in the amount of $1.111 million supports modernization upgrades to the heating, ventilation and air conditioning (HVAC) throughout the primer assembly wing in Building 35 at Lake City Army Ammunition Plant.  Proper temperature and conditioned air is important in producing consistent, high quality primers for 5.56mm, 7.62mm, and .50 cal, as well and helping to maintain employee health and alertness while handling explosives.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","5-79e98a22b4413165dd94da8c5e02e51fdadfbd74386c4b77e341d3f4ae5cd60a","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.038","","","","5173714","Decontamination Facility, Design","5.56mm, 7.62mm, Cal .50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.038","","","","","","","","","","2017-04","","","","","","","Base procurement dollars in the amount of $1.038 million supports design of a decontamination facility with associated air pollution control equipment, support/storage building, and necessary utilities at Lake City Army Ammunition Plant.  The new facility will provide an on-site safe method to decontaminate scrap equipment and metal parts exposed to explosives, in accordance with Department of Army procedures.  This effort supports the production operations of small and medium caliber ammunition.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","6-2e87e3c40c6655b5c27001000fa2b26ac64df9c0e7ee4380ec49805c296ed56a","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.913","","","","5173762","Building 3 Lighting Switchgear","20mm, 7.62mm, Cal .50","","0.571","","","","","0.193","","","","","0.073","","","","","0.076","","","","","","","","","","","","","","","","","","","","","","","2017-04","","2018-12","","","","","Base procurement dollars in the amount of $0.913 million supports an effort to install new lighting switchgear in Building 3 at Lake City Army Ammunition Plant.  The primary switchgear is an original installation and components are obsolete and hard to procure, resulting in potential production interruption.  This effort will provide a safe and reliable electrical distribution system in Building 3 and supports production of small caliber ammunition.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","7-bc74380b7afe050e45e5a368a22e73dfcbcff5d02675b5f2d09304013512aab9","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.464","","","","5173763","Building 2 Interior Switchgear","5.56mm, Links","","","","","","","0.399","","","","","0.058","","","","","0.007","","","","","","","","","","","","","","","","","","","","","","","2017-05","","2018-01","","","","","Base procurement dollars in the amount of $0.464 million supports an effort to install new lighting switchgear in Building 2 at Lake City Army Ammunition Plant.  The interior switchgear is over 25 years old and components are obsolete and hard to procure.  This switchgear serves as the distribution for Building 2; therefore, failure could result in production interruption and or loss.  This effort will provide a safe and reliable electrical distribution system in Building 2 and supports small caliber production.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","8-8b361ddd16494eba26bb74ced85573d4d7e86cf2cbad3aa03454f1e7c4a8aad1","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.67","","","","5173795","19 Series Buildings - Controls and Monitoring Upgrades","5.56mm, 7.62mm, Cal .50","","0.558","","","","","","","","","","","","","","","0.072","","","","","","","","","","","","","0.04","","","","","","","","","","2017-05","","","","","","","Base procurement dollars in the amount of $0.670 million supports installation of modulated Steam Valve with tunable temperature control loop in the Building 19 Series at Lake City Army Ammunition Plant (AAP).  Project supports energy reduction efforts and small caliber ammunition production at Lake City AAP","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","9-562732223e3081d695a43695e3d79878ed928a74fcc79e32e23366f3adc4efbe","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.386","3.176","3.176","","5XX3611","Building 1 & 2 Load Center Transformer Replacement","","","","1.568","","1.568","","","0.75","","0.75","","","0.5","","0.5","","","","","","","","","","","0.358","","0.358","","0.386","","","","","","","","","","2017-04","2018-05","2020-05","2020-05","2020-06","2020-08","","FY 2018 Base procurement dollars in the amount of $3.176 million supports replacement of Building 1 and 2 load center transformer at Lake City Army Ammunition Plant.  The transformers are the main power conversion feeding the 5.56mm production operations.  This effort will design and install electrical transformers to be used for production Buildings 1 and 2 substations.  The existing transformers have exceeded their service life and failure of these transformers has the potential to interrupt 5.56mm production operations.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","10-c2b18afe5f74859455dde1ef7c2e00eaa14549fa146535888a603a20169d8057","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.038","","","","5173635","Noise Abatement in Production & Testing Buildings, Design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.038","","","","","","","","","","2017-04","","","","","","","Base procurement dollars in the amount of $1.038 million supports design of noise abatement systems in 5.56mm, 7.62mm, and .50 cal production and testing buildings at Lake City Army Ammunition Plant.  Noise levels in the production buildings affect employees' ability to hear emergency warnings for storm, fire, and security alerts.  This effort will identify sound emitting sources and develop solutions to minimize noise produced.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","11-24693ebdeeeb3cfcb945f6bcf0539fc57fe11cb2a5cc7dc885247760d95f454e","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.311","2.858","2.858","","5XX3718","Building 15 Boiler Plant, Conceptual Design/Requirement Determination","","","","1.75","","1.75","","","0.25","","0.25","","","0.358","","0.358","","","","","","","","","","","0.5","","0.5","","0.311","","","","","","","","","2018-04","2017-04","2018-04","2020-06","2020-06","2020-07","2020-09","","FY 2018 Base procurement dollars in the amount of $2.858 million supports the investigation of the existing steam plant, evaluation of alternatives to constructing a new centralized steam plant (such as decentralization) and determine the necessity of building a new centralized steam plan to replace the aging Building 15 steam plant at Lake City Army Ammunition Plant (AAP).  This will reduce the energy footprint at Lake City AAP, increase efficiencies and support production of small caliber ammunition.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","12-359026a85ac2c20d785c98c12ee5ae176ffdd6ff485d57089f01103675aa5e15","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.623","","","","5173662","Electrical Switchgear Upgrade, Bldg 35","","","0.575","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.048","","","","","","","","","","2017-04","","","","","","","Base procurement dollars in the amount of $0.623 million supports electrical switchgear upgrades to Building 35 at Lake City Army Ammunition Plant.  This switch gear supports primer manufacturing of small and medium caliber ammunition.  The existing switch gear is approximately 70 years old, is original to the facility and no longer meets code or safety requirements.  This effort will install a new switch gear that will reduce arc flash risk and meet NFPA 70E.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","13-7786f6eedbb12954fa19a2346337f7bfd999501904ba69d591df0f140d54dd19","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.708","","","","5175059","Bldg 91C Centrifugal Compressor","","","0.525","","","","","0.85","","","","","0.25","","","","","","","","","","","","","","","","","","0.083","","","","","","","","","","2017-05","","","","","","","Base procurement dollars in the amount of $1.708 million supports installation of an additional centrifugal compressor in Building 91C at Lake City Army Ammunition Plant (AAP).  Effort will improve the reliability of compressed air availability.  Compressed air supports all small caliber production requirements at Lake City AAP.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","14-a3e9a7158e2b7a408cb7a92f73d70f32398c1b9f34b8abc84d25bc651cc72a6a","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","0.799","0.799","","5183799","Building 35 Wash Pad Replacement","","","","0.499","","0.499","","","","","","","","","","","","","","","","","","","","","0.3","","0.3","","","","","","","","","","","","2018-03","","","2019-03","","","","FY 2018 Base procurement dollars in the amount of $0.799 million supports effort to correct structural deficiencies in the Building 35 Wash Pad area at Lake City Army Ammunition Plant.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","15-85d87ade730607e2cfa56948338840939ac6d5c38fe747deb090209838dac0c7","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","5.1","","","","5183652","HVAC Modifications, Upgrade Prod Bldg Wings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","","","","","2018-04","2017-09","","","","","","","Procurement dollars in the amount of $5.100 million support design of installation of HVAC equipment in explosive wings of Buildings 1 and 3 at Lake City Army Ammunition Plant.  This effort will provide reliable, efficient systems by providing temperature and humidity control for quality manufacturing of explosives.  It will also provide for a safer environment in energetic areas.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","16-5be263f35f0d8097a7e71850ce84b2b8cee15947d4f6b265d2f9aeae50c8d56a","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","0.524","0.524","","5185064","Building 85 Kill Tanks, Design","","","","","","","","","","","","","","","","","","","","","","","","","","","0.524","","0.524","","","","","","","","","","","2019-01","2018-03","","","","","","","FY 2018 Base procurement dollars in the amount of $0.524 million support design of new Kill Tanks in Building 85 at Lake City Army Ammunition Plant.  There are ten explosives kill tanks below building 85.  These tanks chemically neutralize tetrazene, lead styphnate, magnesium styphnate and PETN.  The existing tanks are aging and hazardous to personnel.  The new system will provide increased protection and improve containment functions.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","17-521985dac27d6ded44c44efadf5df12b0b4a778506935ff003e44865f38ab114","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
