Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Integration & Checkout","","","","","","","","","","","","","","","","","3.402","0.000","6.158","0.4","0.469","0.995","0.995","0.892","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","0c7f7b4da4a1de97a2ca3f33feecadeecb814a2f6f189f3c6b31c74073587191","0-f5b022ec2e73b1b8be07232461999bb16dfe9fe414d77bf4088b348e5816d067","0-b03cef8d352a32aa4cce0131c6b47fa8d99582c1dc7ebc36c4814e8286de0c3a","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","","","","","","","","","","","","","","","","","204.196","0.000","257.883","11.877","4.569","24.975","24.975","1.666","10.6","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","0c7f7b4da4a1de97a2ca3f33feecadeecb814a2f6f189f3c6b31c74073587191","1-fb5a134d6e8afdbe3860a02e1208bacb45f2dadfd4fc6b28f0a15886b408f6dc","0-b03cef8d352a32aa4cce0131c6b47fa8d99582c1dc7ebc36c4814e8286de0c3a","root.record.ItemExhibitList.P5Item"
"Propellants","","","","","","","","","","","","","","","","","5.759","0.000","5.759","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","0c7f7b4da4a1de97a2ca3f33feecadeecb814a2f6f189f3c6b31c74073587191","2-7e492ae53df39aaca712e48fdb7fa8550524bf5ed45acd1c82fc554246e9c1cb","0-b03cef8d352a32aa4cce0131c6b47fa8d99582c1dc7ebc36c4814e8286de0c3a","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","","","","","","","","","","","","","","","","","13.852","0.000","33.878","1","7.342","6.959","6.959","4.725","","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","0c7f7b4da4a1de97a2ca3f33feecadeecb814a2f6f189f3c6b31c74073587191","3-ff6fc8ad6087cbb092c842185ea325fd2d32e5cfa8e27702c575300d36dc2886","0-b03cef8d352a32aa4cce0131c6b47fa8d99582c1dc7ebc36c4814e8286de0c3a","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","","","","","","","","","","","","","","","","","16.307","","","0.246","1.753","0.5","0.5","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ec01fd2dc2e4b3154d5fd777d577fadafd0887cac57c8654b4ea1a3886efa793","0-9e6edfb3cab3d23ae986f8afaa4fc88d26aef8fa79e61384e90c4a8b9f09cc3f","0-42ca07edb192cf59bdb00b2a29603395cb5b981e9f9501c359c9e060dd020f16","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","","","","","","","","","","","","","","","","","26.316","","","2.75","1.5","2","2","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ec01fd2dc2e4b3154d5fd777d577fadafd0887cac57c8654b4ea1a3886efa793","1-9a6e482cab9490492624a5ef45a6ef6166395c15603ba21a865de4b058adb225","0-42ca07edb192cf59bdb00b2a29603395cb5b981e9f9501c359c9e060dd020f16","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","","","","","","","","","","","","","","","","","7.565","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ec01fd2dc2e4b3154d5fd777d577fadafd0887cac57c8654b4ea1a3886efa793","2-bae158509d40443931a8474a54992d9803fced04ba1af141ed03de6a5d02c624","0-42ca07edb192cf59bdb00b2a29603395cb5b981e9f9501c359c9e060dd020f16","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","1.5","0.000","168.778","16.724","0.000","16.891","16.891","29.234","76.277","28.152","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","0-811846dda1e43340f4dbf27a015c4d4b428dcecb6b5c91dc083bb5eb95a09b41","0-44d727de8e450ca7ce3816282c411fc308bee777cc132d545e7bc96237739d76","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","","0.000","347.582","173.791","","","","","1.247","172.544","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","0-138961c526e5a73b8403e9c977e7bd68fe94787e45c1984e25212ac2179f1ad2","1-9bc1c11020c51749045bbba483b8da4ec25a0b47c1d5bcb17406897110ae0592","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","","","","","","","","","","","","","","","","","","0.000","-1.247","-1.247","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","1-08f286324e75ba59113ce442fd592b3eca55ddd8e784797a60c7a6c303d2c254","1-9bc1c11020c51749045bbba483b8da4ec25a0b47c1d5bcb17406897110ae0592","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding","","","","","","","","","","","","","","","","","","0.000","-172.544","-172.544","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","2-ddbf2217300487fb5df5385c043895a342fcdc8f7735e5c18a35dbfb1280b62b","1-9bc1c11020c51749045bbba483b8da4ec25a0b47c1d5bcb17406897110ae0592","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","230.452","0.000","243.211","1.7","2.285","2.855","2.855","2.928","2.991","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","0-484510e669481e2ead4aed1571ecf9b50a9d58013b6b23b6dfa020ce4f023199","2-a3ba11672a01d79392f492fe72c2a6269a8c2ca21905b097156f6762dd4e0d80","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","11.057","0.000","88.993","18.532","13.199","13.187","13.187","7.508","17.903","7.607","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","8c9448bac531fa76bde6d0d330853a3c625667bcc8a7fac5efe03c4154f7d50a","1-8be3ce476134f9c134dcddb36caa6ec0e88c36f475b8408706c5a478b397c74e","2-a3ba11672a01d79392f492fe72c2a6269a8c2ca21905b097156f6762dd4e0d80","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 launch support services","","","","","","","","","","","","","","","","","58.581","0","58.581","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","0-173ba04813f8825792aa4f1ee4dda07d4d6070b8a4fcfe4006462c51f4088336","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with launch vehicle","","","","","","","","","","","","","","","","","2.128","0","2.128","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","1-662c2e42fb7227bf472f21e1a4fe91725f2525c316177a75d3a44a6009c5ea9a","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 propellant","","","","","","","","","","","","","","","","","1.498","0","1.498","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","2-4a55c29ed02d89bb18434c3eafdda3d1c42c97ba0ed7ac32a02955e8546bb756","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management Support","","","","","","","","","","","","","","","","","0.071","0","0.42","0.173","0.176","0","0","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","3-c27e66b9f41a8e4c50ae978212e9176fb1898b9fc446382eb4c54e7d6c289210","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 launch support services/launch readiness","","","","","","","","","","","","","","","","","0.808","0","46.387","3.735","41.844","0","0","0","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","4-0b929fb2f4874a1f0e884079607543527d5e666ff3353377cd2d2642658a0a20","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 propellant","","","","","","","","","","","","","","","","","0","0","0","","","0","0","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","5-a92c9623f7515c9201d4f1a54d60bd35b5f2a523f5e68d3811f279660bfe663a","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.339","0","0.339","","","0","0","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","6-b5a80bd4819cd0024ae1df5b55e6973e1ef37bdb06b11b665407e261cec6bd84","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF SV 4","","","","","","","","","","","","","","","","","0","0","1.85","0.02","1.83","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","7-8a885f3d4adca7c1173edb4738330879073e66ef0859f9a352e1c732cc49b7ae","0-f7953f6f0bc784e21b295ddcc908feaa3e00ff8bc247afb0120bb51b02a25979","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","","0","0","","","","","0","0","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","0-3f18c7a36f8fb1da827ebc4981878a49b9a251ac24a033cdd365636d1b52284d","1-4335ba787c654bc8551f6eefc1274152456ec7434283e049cc87c356aef7dd8a","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0","0","","","","","0","0","0","0","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","1-5ed99313e827eebb0797f5aa9e30a28bc578e7d8184ad302390a057834a45f42","1-4335ba787c654bc8551f6eefc1274152456ec7434283e049cc87c356aef7dd8a","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 launch support services/launch readiness","","","","","","","","","","","","","","","","","","0","0","","","0","0","0","0","0","0","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","2-940241d2de90450e172432120c30a5fedda3e3333f35cda17bb5700f4b1b5c64","1-4335ba787c654bc8551f6eefc1274152456ec7434283e049cc87c356aef7dd8a","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","0","1.84","","1.84","0","0","0","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","3-49651735b2adebba03deb281dfbd868ecc1b3a8d6962cf99e353a2782651160b","1-4335ba787c654bc8551f6eefc1274152456ec7434283e049cc87c356aef7dd8a","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","0","0","","","","","0","0","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f830ff0e0232bf531f2a5b472b72627cd21bc5ce1824ae3a2ac074024c5cc4da","4-ab531a313e7b1bcb48b5213544e130eb117368fcac5a4634947bd69d734654a7","1-4335ba787c654bc8551f6eefc1274152456ec7434283e049cc87c356aef7dd8a","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","235.679","0","235.679","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","fbc89ecfd8fd3c878cbf0cea6a2240cb085f639d3c3675a249886be5b125c6b6","0-25472777062a7835231eb84fb43304f587883352960e8a92ac8900be46533b4e","0-2eda7f346bbcd8b4591fd7651bf4800b9821c5bef156eb395a69f0bb1aa27d60","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","","","","","","","","","","","","","","","","","4.022","0","4.022","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","fbc89ecfd8fd3c878cbf0cea6a2240cb085f639d3c3675a249886be5b125c6b6","1-6ad1123014daf8a8030028dbebf2f20da41365d88811acac8047c3c1f357cb36","0-2eda7f346bbcd8b4591fd7651bf4800b9821c5bef156eb395a69f0bb1aa27d60","root.record.ItemExhibitList.P5Item"
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","12.862","0","41.798","15.305","13.631","0","0","0","0","0","0","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","fbc89ecfd8fd3c878cbf0cea6a2240cb085f639d3c3675a249886be5b125c6b6","0-37f5ba7bfcd9e1667e560d8b3a917b656016ea5e736b1c455189bf900b747563","1-6063e940a199bc85b9a6244a488145f3331a419fac8a9e30da7108729eccf65e","root.record.ItemExhibitList.P5Item"
"WGS B2FO Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","0","0","5.785","","5.785","","","0","0","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","fbc89ecfd8fd3c878cbf0cea6a2240cb085f639d3c3675a249886be5b125c6b6","1-7dd6cc6db69ac88fb150e7283ec6e5a1a73105b2063363b13f0100022c35fde9","1-6063e940a199bc85b9a6244a488145f3331a419fac8a9e30da7108729eccf65e","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","","","","","","","","","","","","","","","","","1.339","0","5.785","0","4.446","0","0","0","0","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","fbc89ecfd8fd3c878cbf0cea6a2240cb085f639d3c3675a249886be5b125c6b6","2-dee9f24b4e4b005b6f82fb9fa79dca4be7bf0129aa36f481b8c837bfcc5d6255","1-6063e940a199bc85b9a6244a488145f3331a419fac8a9e30da7108729eccf65e","root.record.ItemExhibitList.P5Item"
"Integration & Checkout","","","","","","","","","","","","","","","","","3.802","0","6.775","2.138","0.835","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2f8244948402bd840bc4e3e4b18474f2bf9622be4039c1af6e1b27bbd0713594","0-438271bf82663629d5fb7f68018d200d6d8743b01f912c512014ca9a6f13735f","0-f04875e216b88ff92c6cd5f64abba92c550adaa65c8695d0aaa6a40216e65ba7","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","","","","","","","","","","","","","","","","","216.073","0","251.473","27.113","8.287","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2f8244948402bd840bc4e3e4b18474f2bf9622be4039c1af6e1b27bbd0713594","1-c77aa9d07a9b2d54cacd457e61610f92a675539c576ae52ba351c8c628d00c1c","0-f04875e216b88ff92c6cd5f64abba92c550adaa65c8695d0aaa6a40216e65ba7","root.record.ItemExhibitList.P5Item"
"Propellants","","","","","","","","","","","","","","","","","5.759","0","5.923","","0.164","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2f8244948402bd840bc4e3e4b18474f2bf9622be4039c1af6e1b27bbd0713594","2-f5901ac1959c74270ab01a8c800f70bd686005c33db05acd50d425114b52f503","0-f04875e216b88ff92c6cd5f64abba92c550adaa65c8695d0aaa6a40216e65ba7","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","","","","","","","","","","","","","","","","","14.852","0","28.974","7.24","6.882","","","","0","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2f8244948402bd840bc4e3e4b18474f2bf9622be4039c1af6e1b27bbd0713594","3-8116c3b0df7c63cc3f965946210f85408b9cf8ed23bed7e68d1d3e5f303c8163","0-f04875e216b88ff92c6cd5f64abba92c550adaa65c8695d0aaa6a40216e65ba7","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","","","","","","","","","","","","","","","","","16.553","","","1.753","0.5","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49d85e4cb8986dcec2f99384a06b4fb0b42a7c37ffc682e94ca3296bc79a5b87","0-efcbf4d1de6e47eca4093ad8a721aa1cc36e77809aa7143283a91855e8a6dac7","0-319e0d2c0147f3cc03784018a156df7bd9fcfb707785198c65f5bd443560a0c0","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","","","","","","","","","","","","","","","","","29.066","","","1.5","2","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49d85e4cb8986dcec2f99384a06b4fb0b42a7c37ffc682e94ca3296bc79a5b87","1-f43e9dc80ba583c0a0476553fba44d2b36cab654b80d34fd71804102058c9d6e","0-319e0d2c0147f3cc03784018a156df7bd9fcfb707785198c65f5bd443560a0c0","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","","","","","","","","","","","","","","","","","7.565","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49d85e4cb8986dcec2f99384a06b4fb0b42a7c37ffc682e94ca3296bc79a5b87","2-2c235636e4b73f82948199411b3280613912f720cd1f0d1459f200aa2491678f","0-319e0d2c0147f3cc03784018a156df7bd9fcfb707785198c65f5bd443560a0c0","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","70.212","0","106.644","14.71","21.722","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","b7250a7bc654675ae44d6d62c2bb1e4e483647e362d5d04206595c9b29029aa8","0-8d02d195cca50abcdbfe52b5fadd9e8fa752b2685a57d4695ce8fd54e7bfa374","0-803071826ef51836f650a783cbfcb0e5e572854e39ac70fea9366f7d4609bb8f","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","0","21.753","21.753","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","b7250a7bc654675ae44d6d62c2bb1e4e483647e362d5d04206595c9b29029aa8","1-07f267a8a4ded3aeae1d71e6a31942ce90ef18b4e36e992e4af516e078b2cc21","0-803071826ef51836f650a783cbfcb0e5e572854e39ac70fea9366f7d4609bb8f","root.record.ItemExhibitList.P5Item"
