Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"HEO 3-4 Hardware","A","124.542","2","249.083","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","124.542","2","249.083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","0-a27f5d21fa063da775f3c7d8e6cf80eac7fa9b1f58d8ab7f021ef31edf9b261f","0","2-0c7665dcd7b4eabafc4d5f621facbbbad11ea068989102fdb31eab004cafbcf7","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Integration and Assembly","A","","","388.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","388.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","1-274ab6002acb2017fbd94d4775f21fc472015513c9d662de3b94c322e01aee66","","2-0c7665dcd7b4eabafc4d5f621facbbbad11ea068989102fdb31eab004cafbcf7","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Systems Engineering & Integration (SE&I)","A","","","10.821","","","","","","","6.015","","","","6.015","","","5.115","","","","","","","","","","","","","","0.000","","","21.951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","2-bb19b87c6d2ba1934736aed1695958d152b21a7a3ed4bbbd409f4a4074d4b793","","2-0c7665dcd7b4eabafc4d5f621facbbbad11ea068989102fdb31eab004cafbcf7","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 3","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","832.268","0.000","832.268","","","","","","","","","","832.268","832.268","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","0-68fd783968640db3204aa0387f5f2854fb02039c31b0625f1b620935b2e041b6","0","0-914977a68d4f694431ccca3a35d25a0d4699c5fd6d98d53a06d74b87285d9814","root.record.ItemExhibitList.P5Item"
"AEHF SV 4","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1693.304","0.000","1693.304","","","","","","","","","","1693.304","1693.304","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","1-0818f14ecd0267a62996dea6f66eb1fce36e8a44d748fee06bf84fc28ae1833a","0","0-914977a68d4f694431ccca3a35d25a0d4699c5fd6d98d53a06d74b87285d9814","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Block Buy","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","2351.558","0.000","3973.944","390","251","198.891","198.891","209.554","572.941","0.000","0.000","","1175.779","1986.972","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","0-185988d81aff25b97986dc64113ed63f20e7806a4010021d886024a3178e023d","0","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"FY13 Incremental Funding","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-390","0.000","-390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","1-148509741903138bc73cda671197973df88d673562ab494f28341f4feea50e0d","","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"FY14 Incremental Funding","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-251","0.000","-251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","2-8b780bd83ad8f0d6250c1faefa5ab8d28e01825552db2a2be456c27048053b1f","","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"FY15 Incremental Funding","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-198.891","0.000","-198.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","3-4641842f83100f93175de16f58e51b00d442d2e54855442ccb41efa59a698045","","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"FY16 Incremental Funding","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-209.554","0.000","-209.554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","4-52ed48529c47c3838d7c77b4b53de4d92ddfddf99a07f8eecae285852fbe88a4","","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-572.941","0.000","-572.941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","5-f558c40220197aa2d8349029f4a048defd38f26b3c02bc81ab4c38e5e27c6785","","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"WGS SV 1-3","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","","","","","","","533.673","0.000","533.673","","","","","","","","","","177.891","177.891","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","0-29492c7d83e7e64fa46dc2a0beeb49e14c231a5648a29ffef5c2d16cc7b4dc8a","","0-181bfa7ed27a5b95946887a10e959e30b98a2d91cf71f328341e8d6cca277eaf","root.record.ItemExhibitList.P5Item"
"WGS SV 4","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","376.463","0.000","376.463","","","","","","","","","","376.463","376.463","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","1-d32ab5ab2d92f8ab7c001ca617ce4ca0fb6b68259979f2fe482ba7e0338f8a09","","0-181bfa7ed27a5b95946887a10e959e30b98a2d91cf71f328341e8d6cca277eaf","root.record.ItemExhibitList.P5Item"
"WGS SV 5","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","338.319","0.000","338.319","","","","","","","","","","338.319","338.319","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","2-604d55941f5467289423599c73713ef18c83f722e26c5bd55e11700c6494ec40","","0-181bfa7ed27a5b95946887a10e959e30b98a2d91cf71f328341e8d6cca277eaf","root.record.ItemExhibitList.P5Item"
"WGS SV 7","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","443.532","0.000","443.532","","","","","","","","","","443.532","443.532","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","1.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","0-98305447e6fc8546ad1ce1e8ebe1ab74e4c6784db509b23dea5945c338a43463","0","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"WGS SV 8","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","353.925","0.000","353.925","","","","","","","","","","353.925","353.925","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","1.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","1-3ad304e945e1a2d2d1cbf1c97ef0e47f1a65214b51dfe361d42680556a3d4411","0","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","338.7","0.000","338.7","","","","","","","","","","338.7","338.7","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","1.00","0.00","0","0","0","0","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","2-8a9506e0afb0ad3ffb3a5b8fe3f2f535ab2dd50332ec7db4fe8200374d81048f","0","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","6","2","2","","","","","","","","452.549","0.000","1364.658","458.906","449.235","0.5","0.5","1.047","1.23","0.899","0.292","","226.275","227.443","229.453","224.618","","","","","","","","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","3","3","49","52","3","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-ee5f43cb988e54f2c173f1109c0471f9fc52dd56f08be704d1ef0d2d62b26b3c","2","0-ca33f789c02fe18679ec129f4c73330facda31aedf305eb595b9633780b01dc7","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","1","1","1","3","3","3","13","0.000","2561.849","5484.845","","0.000","257.492","257.492","305.102","785.472","739.228","835.702","","","228.535","","","257.492","257.492","305.102","261.824","246.409","278.567","197.065","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","3","7","53","60","3","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-ba98fcf4835742b10ae72d2abcd5e8e98a3eb5ef31218ba61fb92b763706aac0","","1-5f254fe7aad18098d93fbb8441bbf081e933859e0bbdbe2ae1afebe93f3b6b29","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","","","","","","","","","","869.768","0.000","869.768","","","","","","","","","","31.063","31.063","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","0-5527618da58c6012ccb5fa96571ccd4be86259bf178e22d6d6e55bcb7e4fe41f","","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","","","","","","","","","","1088.345","0.000","1088.345","","","","","","","","","","51.826","51.826","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","1-120c5153da159f640d3e04831598c553207fcd56e62dd0cb6d42fab6110eccc7","","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","","","","","","","","","","984.726","0.000","984.726","","","","","","","","","","82.061","82.061","","","","","","","","","","Boeing","El Segundo, CA","0.00","0.00","0.00","1","1","89","90","1","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","2-27e29042baef476a4bb9c71ebbf31fd52464473676a0b84975343ab095b5e194","8","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","1019.613","","","41.561","30.836","37.5","37.5","","","","","","113.29","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","0-8d986ccd157247d931bd1fd8a32389cd8a94bb56f26086985296799f0ac7a03c","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118.869","","","3.844","3.918","4.7","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","1-4b8a495200d5fa1bdf6212eb92ada7b8fecf52f096f95bd0b832affcb118fd01","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","2-2c3d5d460c4327232efa6f2ef73d8d60ba80da0132aad31c11ad032f5f4a784e","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"Consolidated Sensor Support and Services--CLIN 1","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410.183","","","16.577","14.857","18.5","18.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","3-3700adab933029e6789fce29f693a002f856da9b010f6aa83bdaa71c45f4dff2","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.645","","","0.33","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","4-f4c8683a6c26c9a344630eee8059cc1933f15a34c52eaa6eb9536f156326ab8e","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"NGC Total Award Fee","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.793","","","0.378","1.89","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","5-020f26751882f02556149951b15d602baf5ad2082593cac4626b803f76b0f75a","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.53","","","4.962","2.974","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","6-8e7a19aca404706826f795b4f7f9efeec64a42acc53fd1ead802880d52e18d06","","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","1408.801","0.000","1433.115","0.71","12.133","11.471","11.471","","","","","","704.401","716.558","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","2.00","0.00","0","10","87","97","0","0","0","0","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","0-b8395891d1a26fa002baac05fcf3f28e61e8cb0fa486e9b1d4b19401bc97135d","0","0-6c2373c340fa46eb05d77c2d19f16b421a5b5179b67edce7e0a90623501ccdec","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458.52","0.000","576.098","11.901","63.307","42.37","42.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","1-ed6eaa6d4a00bb378c06e205d57de8690bfa0ec9b5206b52313f75c42172c8b9","","0-6c2373c340fa46eb05d77c2d19f16b421a5b5179b67edce7e0a90623501ccdec","root.record.ItemExhibitList.P5Item"
